id,Name,trN,trN,Entity ID,Number of positions,Track length,Start time,End time,Duration (second),Duration (minutes),Duration (hours),Hour (start),Hour (end)
106,106,1,7,650,5,4.011669370134607,04/04/2007 06:39:58,04/04/2007 07:16:28,2190,36.5,0.60833335,6,7
107,107,2,8,650,8,4.1907017204274055,04/04/2007 08:12:26,04/04/2007 08:43:38,1872,31.2,0.52000004,8,8
143,143,3,10,945,6,3.4244631003883357,04/04/2007 06:37:27,04/04/2007 07:12:26,2099,34.983334,0.58305556,6,7
144,144,4,11,945,3,3.0431921823287755,04/04/2007 10:28:46,04/04/2007 10:37:17,511,8.516666,0.14194444,10,10
261,261,5,18,1283,11,19.853971880179245,04/04/2007 06:52:57,04/04/2007 07:15:48,1371,22.85,0.38083333,6,7
274,274,6,19,1459,7,4.755032887214145,04/04/2007 06:01:15,04/04/2007 06:26:20,1505,25.083334,0.41805556,6,6
311,311,7,23,1575,8,8.902319132589666,04/04/2007 05:32:19,04/04/2007 06:04:54,1955,32.583332,0.54305553,5,6
387,387,8,28,1619,5,3.316328554847167,04/04/2007 10:05:45,04/04/2007 10:39:20,2015,33.583332,0.5597222,10,10
412,412,9,29,1651,6,5.357152039244726,04/04/2007 07:21:10,04/04/2007 07:44:25,1395,23.25,0.3875,7,7
413,413,10,30,1651,13,14.112666222252592,04/04/2007 08:19:49,04/04/2007 09:31:57,4328,72.13333,1.2022222,8,9
466,466,11,35,1996,11,18.70849917246464,04/04/2007 09:03:48,04/04/2007 09:20:10,982,16.366667,0.27277777,9,9
480,480,12,37,2084,19,12.193045945086286,04/04/2007 07:27:35,04/04/2007 09:21:33,6838,113.96667,1.8994445,7,9
481,481,13,38,2084,13,19.112108883374724,04/04/2007 09:57:29,04/04/2007 10:45:38,2889,48.15,0.8025,9,10
489,489,14,39,2130,9,11.395106425149196,04/04/2007 05:30:53,04/04/2007 06:36:52,3959,65.98333,1.0997221,5,6
490,490,15,40,2130,5,5.827463256284146,04/04/2007 07:56:21,04/04/2007 08:13:35,1034,17.233334,0.28722224,7,8
516,516,16,45,2133,5,6.054532239660087,04/04/2007 06:11:07,04/04/2007 06:27:29,982,16.366667,0.27277777,6,6
572,572,17,50,2413,16,29.636112205133728,04/04/2007 05:53:48,04/04/2007 06:29:27,2139,35.65,0.5941667,5,6
575,575,18,53,2418,10,14.152675614806824,04/04/2007 05:36:02,04/04/2007 06:11:57,2155,35.916668,0.5986111,5,6
593,593,19,55,2431,7,8.888012896547941,04/04/2007 06:54:39,04/04/2007 07:47:45,3186,53.1,0.885,6,7
594,594,20,56,2431,10,9.059521843795697,04/04/2007 08:20:10,04/04/2007 09:32:31,4341,72.35,1.2058333,8,9
613,613,21,59,2534,8,29.158141879239807,04/04/2007 05:32:13,04/04/2007 06:30:12,3479,57.983334,0.9663889,5,6
671,671,22,61,3093,5,14.433545222260811,04/04/2007 06:59:37,04/04/2007 07:32:12,1955,32.583332,0.54305553,6,7
722,722,23,62,3332,12,10.32521542217167,04/04/2007 05:16:14,04/04/2007 06:08:49,3155,52.583332,0.87638885,5,6
742,742,24,64,3662,4,4.503742539859362,04/04/2007 06:33:12,04/04/2007 06:50:10,1018,16.966667,0.2827778,6,6
