id,Name,Cluster 
2,2,class 1
3,3,class 1
4,4,
5,5,class 1
6,6,
7,7,class 1
8,8,
9,9,
10,10,class 1
11,11,class 5
12,12,
13,13,class 1
14,14,
15,15,
16,16,
17,17,class 1
18,18,class 1
19,19,class 1
20,20,class 1
21,21,
22,22,
23,23,class 4
24,24,
25,25,
26,26,
27,27,
28,28,
29,29,
30,30,
31,31,
32,32,class 1
33,33,class 1
34,34,
35,35,
36,36,class 1
37,37,
38,38,
39,39,
40,40,
41,41,
42,42,
43,43,class 3
44,44,
45,45,class 1
46,46,class 1
47,47,
48,48,class 1
49,49,
50,50,class 1
51,51,
52,52,class 1
53,53,
54,54,
55,55,
56,56,
57,57,
58,58,
59,59,class 1
60,60,
61,61,
62,62,class 1
63,63,
64,64,
65,65,
66,66,class 1
67,67,class 4
68,68,class 1
69,69,class 1
70,70,class 1
71,71,class 1
72,72,class 1
73,73,class 1
74,74,class 1
75,75,class 1
76,76,class 1
77,77,class 1
78,78,class 1
79,79,class 1
80,80,class 1
81,81,class 1
82,82,
83,83,
84,84,class 1
85,85,class 1
86,86,class 1
87,87,class 1
88,88,class 1
89,89,class 1
90,90,
91,91,class 1
92,92,class 1
93,93,class 1
94,94,class 1
95,95,class 1
96,96,class 1
97,97,class 1
98,98,class 1
99,99,
100,100,
101,101,
102,102,
103,103,
104,104,class 1
105,105,
106,106,class 3
107,107,
108,108,
109,109,
110,110,
111,111,
112,112,
113,113,class 5
114,114,
115,115,
116,116,class 4
117,117,
118,118,class 1
119,119,class 1
120,120,class 3
121,121,
122,122,class 5
123,123,
124,124,
125,125,class 1
126,126,
127,127,class 1
128,128,class 6
129,129,
130,130,
131,131,
132,132,
133,133,class 1
134,134,class 1
135,135,
136,136,
137,137,
138,138,
139,139,class 1
140,140,class 1
141,141,
142,142,
143,143,
144,144,
145,145,class 1
146,146,
147,147,class 1
148,148,
149,149,
150,150,class 1
151,151,class 1
152,152,class 1
153,153,
154,154,
155,155,class 1
156,156,
157,157,
158,158,class 6
159,159,class 1
160,160,class 1
161,161,class 1
162,162,class 1
163,163,class 3
164,164,
165,165,
